name,cafeurl,reviewcnt,rating,pricerng,postcode,lat,long,rev_Excellent,rev_Very good,rev_Average,rev_Poor,rev_Terrible,topcat,borough,price_num
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8153728-Reviews-Starbucks-London_England.html,26,3.0,£,EC3R 5BT,51.5114,-0.0855,2,2,9,3,0,Average,City and Hackney Teaching,1
Black Sheep Coffee - Coleman St,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12696421-Reviews-Black_Sheep_Coffee_Coleman_St-London_England.html,11,3.5,££ - £££,EC2R 5EH,51.5167,-0.0928,1,5,1,0,3,Very good,City and Hackney Teaching,2
Brera Riverside,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5768810-Reviews-Brera_Riverside-London_England.html,65,3.0,££ - £££,E14 8RR,51.50563529411765,-0.0187647058823529,17,10,9,8,16,Excellent,Tower Hamlets,2
Shaman London - St Paul's Riverside,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d23438408-Reviews-Shaman_London_St_Paul_s_Riverside-London_England.html,8,3.5,££ - £££,EC4V 3DT,51.5085,-0.1257,4,0,1,1,2,Excellent,City and Hackney Teaching,2
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7178721-Reviews-Starbucks-London_England.html,36,3.0,££ - £££,W1S 3HF,51.5085,-0.1257,3,3,8,1,5,Average,Westminster,2
Sapid Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10057662-Reviews-Sapid_Coffee-London_England.html,28,3.0,££ - £££,N16 0JL,51.5625,-0.074,5,9,3,6,5,Very good,City and Hackney Teaching,2
GAIL's Bakery Abbeville Road,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9993023-Reviews-GAIL_s_Bakery_Abbeville_Road-London_England.html,39,3.0,££ - £££,SW4 9JW,51.46758,-0.1291199999999999,11,11,2,6,9,Excellent,Lambeth,2
SOHO Coffee Co.,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13087336-Reviews-SOHO_Coffee_Co-London_England.html,7,3.0,£,EC2V 7AY,51.5161,-0.0949,1,0,4,2,0,Average,City and Hackney Teaching,1
The Alley,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d20815017-Reviews-The_Alley-London_England.html,3,3.0,£,WC1V 7EY,51.5085,-0.1257,0,2,0,0,1,Very good,Camden,1
Caffe Nero,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8796167-Reviews-Caffe_Nero-London_England.html,18,3.0,£,W6 9HR,51.49248333333333,-0.2204,0,5,2,0,3,Very good,Hammersmith and Fulham,1
Baker Street Food Station,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d1755131-Reviews-Baker_Street_Food_Station-London_England.html,156,3.0,£,NW1 5LF,51.52988181818182,-0.1471818181818182,22,30,12,10,29,Very good,Westminster,1
Caffe Nero - Theobolds Road,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5122242-Reviews-Caffe_Nero_Theobolds_Road-London_England.html,11,3.0,£,WC1X 8SF,51.5085,-0.1257,1,1,1,0,3,Terrible,Camden,1
Costa Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7288497-Reviews-Costa_Coffee-London_England.html,25,3.0,£,SE7 7SR,51.4842,0.0339,5,3,6,5,3,Average,Greenwich Teaching,1
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5524824-Reviews-Starbucks-London_England.html,16,3.0,£,EC4N 8BN,51.5144,-0.0941,1,1,6,0,3,Average,City and Hackney Teaching,1
Joe & the Juice,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5122112-Reviews-Joe_the_Juice-London_England.html,350,3.0,££ - £££,W1B 2HE,51.5085,-0.1257,61,71,36,32,88,Terrible,Westminster,2
The Lodge Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10720526-Reviews-The_Lodge_Cafe-London_England.html,88,3.0,££ - £££,W1J 7NT,51.5085,-0.1257,17,19,15,6,24,Terrible,Westminster,2
SOHO Coffee Co.,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13087288-Reviews-SOHO_Coffee_Co-London_England.html,21,3.0,£,WC2R 1AP,51.5085,-0.1257,1,7,3,2,5,Very good,Westminster,1
Notes,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8373214-Reviews-Notes-London_England.html,44,3.0,££ - £££,E14 5AR,51.50563529411765,-0.0187647058823529,14,5,5,7,12,Excellent,Tower Hamlets,2
Grovelands Park Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12356314-Reviews-Grovelands_Park_Cafe-London_England.html,14,3.0,£,N14 6RA,51.63298,-0.13062,3,4,0,5,2,Poor,Enfield,1
West Cornwall Pasty,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13565708-Reviews-West_Cornwall_Pasty-London_England.html,10,3.0,££ - £££,NW1 6JJ,51.52988181818182,-0.1471818181818182,1,3,2,0,3,Very good,Westminster,2
Caffe Nero,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10304832-Reviews-Caffe_Nero-London_England.html,10,3.0,£,E20 1EJ,51.5468,-0.0096,3,2,1,0,3,Excellent,Newham,1
Munson's Coffee & Eats,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d3292845-Reviews-Munson_s_Coffee_Eats-London_England.html,105,3.0,££ - £££,W5 5RG,51.516333333333336,-0.2851888888888889,32,14,10,16,33,Terrible,Ealing,2
Mouse Tail Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d16721998-Reviews-Mouse_Tail_Coffee-London_England.html,7,3.0,£,SE16 7FU,51.49742,-0.0528,2,0,2,1,2,Excellent,Southwark,1
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8428551-Reviews-Starbucks-London_England.html,33,3.0,££ - £££,W1F 0TA,51.5085,-0.1257,5,3,6,1,7,Terrible,Westminster,2
The Boathouse Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d10103140-Reviews-The_Boathouse_Cafe-London_England.html,26,3.0,£,NW1 4NR,51.52988181818182,-0.1471818181818182,5,7,4,3,7,Very good,Westminster,1
Coffee to Go,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5888629-Reviews-Coffee_to_Go-London_England.html,19,3.0,£,N1 9DU,51.53669,-0.0944,2,4,3,2,5,Terrible,Islington,1
SOHO Coffee Co.,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12709406-Reviews-SOHO_Coffee_Co-London_England.html,50,3.0,££ - £££,WC2B 6TD,51.5085,-0.1257,9,10,7,9,12,Terrible,Camden,2
WatchHouse Fetter Lane,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12919982-Reviews-WatchHouse_Fetter_Lane-London_England.html,5,3.0,££ - £££,EC4A 1EP,51.5085,-0.1257,0,2,1,1,1,Very good,City and Hackney Teaching,2
EAT.,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7990239-Reviews-EAT-London_England.html,13,3.0,£,W1S 3HJ,51.5085,-0.1257,0,1,5,2,1,Average,Westminster,1
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d8751644-Reviews-Starbucks-London_England.html,17,3.0,££ - £££,W11 1LT,51.507525,-0.205,2,2,2,1,2,Excellent,Kensington and Chelsea,2
Swirliz,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d5795778-Reviews-Swirliz-London_England.html,21,3.0,£,N13 4JG,51.6179,-0.1101,3,7,0,2,8,Terrible,Enfield,1
GAIL’s Bakery,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d17853492-Reviews-GAIL_s_Bakery-London_England.html,30,3.0,££ - £££,W9 1NJ,51.52442,-0.18458,8,0,5,5,10,Terrible,Westminster,2
The Rookery Cafe,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12064491-Reviews-The_Rookery_Cafe-London_England.html,48,3.0,£,SW16 3BZ,51.42283333333334,-0.1242666666666666,9,11,11,8,9,Very good,Lambeth,1
Espresso Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d11716680-Reviews-Espresso_Bar-London_England.html,21,3.0,££ - £££,WC2H 7AN,51.5085,-0.1257,4,3,4,0,5,Terrible,Westminster,2
Joe & The Juice,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12535729-Reviews-Joe_The_Juice-London_England.html,19,3.0,££ - £££,W11 2EB,51.507525,-0.205,2,3,1,4,3,Poor,Kensington and Chelsea,2
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d9702001-Reviews-Starbucks-London_England.html,11,3.0,££ - £££,EC3V 1LP,51.5136,-0.0873,0,2,4,0,3,Average,City and Hackney Teaching,2
Truedan,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d24194605-Reviews-Truedan-London_England.html,1,2.0,£,WC1N 1AW,51.5085,-0.1257,0,0,0,1,0,Poor,Camden,1
Deja Vu Cafe & Cocktails Bar,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7303907-Reviews-Deja_Vu_Cafe_Cocktails_Bar-London_England.html,3,2.5,£,E17 7DB,51.58758,-0.02048,0,1,1,0,1,Very good,Waltham Forest,1
Costa Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12049667-Reviews-Costa_Coffee-London_England.html,17,3.0,££ - £££,W12 7GF,51.505,-0.2211,2,1,4,3,3,Average,Hammersmith and Fulham,2
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7604478-Reviews-Starbucks-London_England.html,29,3.0,£,WC2B 5HZ,51.5085,-0.1257,3,4,6,0,4,Average,Westminster,1
Camden Coffee Co,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d13945540-Reviews-Camden_Coffee_Co-London_England.html,26,3.0,£,NW1 8AH,51.52988181818182,-0.1471818181818182,7,3,1,3,10,Terrible,Camden,1
Starbucks,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d12431081-Reviews-Starbucks-London_England.html,12,3.0,££ - £££,N1 9NR,51.53669,-0.0944,0,2,1,1,2,Very good,Islington,2
Costa Coffee,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d6078880-Reviews-Costa_Coffee-London_England.html,17,3.0,££ - £££,NW1 2JA,51.52988181818182,-0.1471818181818182,1,2,5,4,3,Average,Camden,2
Caffe Nero,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d4911887-Reviews-Caffe_Nero-London_England.html,53,3.0,£,W1T 4TB,51.5085,-0.1257,13,7,5,2,17,Terrible,Camden,1
Caffe Nero,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d7128950-Reviews-Caffe_Nero-London_England.html,20,3.0,£,WC2H 9PU,51.5085,-0.1257,4,3,2,0,6,Terrible,Westminster,1
Au Ciel,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d733939-Reviews-Au_Ciel-London_England.html,38,3.0,££ - £££,SE21 7DE,51.443900000000006,-0.0885,13,3,2,8,12,Excellent,Southwark,2
Black Sheep Coffee - Kings Cross,https://www.tripadvisor.co.uk/Restaurant_Review-g186338-d23436951-Reviews-Black_Sheep_Coffee_Kings_Cross-London_England.html,3,2.5,£,N1C 4DE,51.5362,-0.103,1,0,0,0,2,Terrible,Camden,1
